Week,Timestep,MU,RBM,RSDU,Total extended time,Rescheduling,Original _ extended,Ori-timestep
54,0.638465341,0.817901235,1.116981132,0.096552659,-0.54831748,FALSE,25,39
54,2.18325653,0.833333333,1.096296296,0.07505523,-0.294408847,FALSE,30,66
54,2.240471019,0.852409639,1.045936396,0.03892276,0.365753597,FALSE,43,67
55,-1.364041756,0.766129032,1.157894737,0.120938161,-1.106916471,FALSE,14,4
55,-1.077969313,0.796875,1.078431373,0.055459355,-0.3959723,FALSE,28,9
55,0.69567983,0.796428571,1.076233184,0.06771152,0.568880503,FALSE,47,40
55,1.096181249,0.808219178,1.118644068,0.079498572,1.229042947,FALSE,60,47
55,1.496682669,0.780821918,1.01754386,0.024810764,0.822789135,TRUE,52,54
56,-1.478470733,0.772727273,1.129411765,0.095092986,-0.903789565,FALSE,18,2
56,-1.421256244,0.737068966,1.076023392,0.067187867,-0.853007839,TRUE,19,3
56,-1.135183802,0.75,1.172413793,0.132058911,-0.700662659,TRUE,22,8
56,-0.906325848,0.7625,1.092896175,0.065269482,-0.243627121,TRUE,31,12
56,-0.677467894,0.773809524,1.148717949,0.121210926,0.365753597,TRUE,43,16
56,-0.105323009,0.768939394,1.064039409,0.056596676,0.772007409,TRUE,51,26
56,0.180749433,0.799242424,1.099526066,0.066350711,1.178261221,TRUE,59,31
57,-1.020754825,0.775,1.050691244,0.066248414,-0.700662659,FALSE,22,10
57,-0.162537498,0.810714286,1.092511013,0.068056565,-0.192845394,FALSE,32,25
57,0.810108807,0.813380282,1.108225108,0.073974058,0.010281512,FALSE,36,42
57,1.43946818,0.811643836,1.113924051,0.080795537,0.31497187,FALSE,42,53
58,-1.478470733,0.797619048,1.174129353,0.180481166,-1.665515462,TRUE,3,2
58,-1.421256244,0.792307692,1.184466019,0.183868902,-1.41160683,TRUE,8,3
58,-0.563038917,0.78358209,1.2,0.192056933,-1.208479924,TRUE,12,18
58,-0.334180963,0.817164179,1.150684932,0.150892344,-0.751444386,TRUE,21,22
58,-0.162537498,0.801369863,1.128205128,0.1220757,0.010281512,TRUE,36,25
59,-1.421256244,0.727678571,1.202453988,0.18404908,-1.360825104,FALSE,9,3
59,-0.906325848,0.754716981,1.225,0.215058132,-1.513170283,TRUE,6,12
59,-0.219751986,0.771551724,1.139664804,0.100558659,-0.54831748,FALSE,25,24
59,-0.162537498,0.780172414,1.215469613,0.210718744,-0.446754027,TRUE,27,25
59,-0.048108521,0.775862069,1.244444444,0.231651789,-0.497535753,TRUE,26,27
59,0.466821876,0.758064516,1.276595745,0.268568741,-0.091281941,TRUE,34,36
60,-1.59289971,0.763157895,1.103448276,0.071474169,-0.954571292,FALSE,17,0
